COUNTRY_NAME,CASES_DEATHS,epiweek,ISO_YEAR,ISO_WEEK,WHO_REGION,ISO_3_CODE,SEX,AGEGROUP,AGEGROUP_NUM,REPORTING_TYPE
UNITED STATES OF AMERICA,3878,2023-01-02,2023,1,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,3698,2023-01-09,2023,2,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,3251,2023-01-16,2023,3,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,2914,2023-01-23,2023,4,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,2646,2023-01-30,2023,5,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,2351,2023-02-06,2023,6,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,2104,2023-02-13,2023,7,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,2157,2023-02-20,2023,8,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,1998,2023-02-27,2023,9,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,1852,2023-03-06,2023,10,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,1764,2023-03-13,2023,11,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,1668,2023-03-20,2023,12,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,1446,2023-03-27,2023,13,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,1371,2023-04-03,2023,14,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,1220,2023-04-10,2023,15,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,1195,2023-04-17,2023,16,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,1026,2023-04-24,2023,17,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,949,2023-05-01,2023,18,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,838,2023-05-08,2023,19,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,758,2023-05-15,2023,20,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,739,2023-05-22,2023,21,AMRO,USA,All,All,0,WEEKLY_V2
UNITED STATES OF AMERICA,693,2023-05-29,2023,22,AMRO,USA,All,All,0,WEEKLY_V2
